model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
grok-4.3,xai,,lg_cell_phone,3,0.666667,18,0.888889,0.000000,-0.222222
grok-4.3,xai,,calcium_bottle,3,1.000000,18,0.944444,0.000000,0.055556
grok-4.3,xai,,baseball,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,canon_camera,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,dymo_label_maker,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,hair_brush,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,pan,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,shoes,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,toy,3,1.000000,18,1.000000,0.000000,0.000000
grok-4.3,xai,,training_marker_cone,3,1.000000,18,1.000000,0.000000,0.000000
