slug,model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,social_app_resave,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,huggingface,,messenger_upload_download,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,huggingface,,phone_screenshot_resave,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,huggingface,,social_app_resave,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,huggingface,,video_call_frame_capture,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
