slug,model_id,provider,model_version,clean_n,clean_accuracy,clean_unparseable_rate,clean_abstention_rate,real_n,real_accuracy,real_unparseable_rate,real_abstention_rate,accuracy_drop_vs_clean
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,huggingface,,2,1.0,0.0,0.0,4,1.0,0.0,0.0,0.0
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,huggingface,,2,1.0,0.0,0.0,4,1.0,0.0,0.0,0.0
