model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
grok-4.3,xai,,messenger_upload_download,200,0.990000,0.970000,1.000000,0.000000,0.000000,-0.020000,-0.060000,0.020000
grok-4.3,xai,,phone_screenshot_resave,200,0.980000,0.960000,0.995000,0.000000,0.000000,-0.010000,-0.045000,0.020000
grok-4.3,xai,,social_app_resave,200,0.990000,0.970000,1.000000,0.000000,0.000000,-0.020000,-0.060000,0.020000
grok-4.3,xai,,video_call_frame_capture,200,0.955000,0.915000,0.990000,0.000000,0.000000,0.015000,-0.030000,0.065000
