family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
native_cure_or,native_challenge_type_12,level_4,500,0.69,0.015007444024085999,0.062000000000000055,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_5,500,0.636,0.014267068246379494,0.11599999999999999,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_1,500,0.724,0.015454233003780246,0.028000000000000025,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_2,500,0.516,0.013801909325644374,0.236,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_3,500,0.378,0.013172777142375707,0.374,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_4,500,0.298,0.012754973078146577,0.454,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_5,500,0.24,0.012437923537567258,0.512,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_1,500,0.13,0.012426547540351749,0.622,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_2,500,0.02,0.012046468337997794,0.732,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_3,500,0.008,0.012129916604608297,0.744,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_4,500,0.01,0.011872285610064865,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_5,500,0.01,0.01180378468707204,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_1,500,0.718,0.015163333529606462,0.03400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_2,500,0.684,0.014663578294217586,0.06799999999999995,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_3,500,0.61,0.01431508550606668,0.14200000000000002,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_4,500,0.556,0.014039588132873178,0.19599999999999995,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_5,500,0.508,0.013856250520795584,0.244,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_1,500,0.646,0.014224980803206564,0.10599999999999998,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_2,500,0.488,0.013179368501529098,0.264,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_3,500,0.32,0.012283404313027858,0.432,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_4,500,0.16,0.011593535857275128,0.592,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_5,500,0.05,0.011294395316392184,0.702,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_1,500,0.586,0.013882390756160021,0.16600000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_2,500,0.51,0.01339989847689867,0.242,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_3,500,0.464,0.013037553695961834,0.288,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_4,500,0.382,0.012640156209468841,0.37,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_17,level_5,500,0.27,0.01209163522347808,0.482,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_1,500,0.146,0.01195487918332219,0.606,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_2,500,0.046,0.01130779779329896,0.706,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_3,500,0.006,0.011080825367942453,0.746,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_4,500,0.01,0.010971644204109907,0.742,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_18,level_5,500,0.008,0.010951613282784819,0.744,full_cure_or_leave_clean_condition_out_prototype
