model_name,model_slug,rank_most_damaging,recipe,accuracy,relative_accuracy_drop,mean_confidence
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,1,native_challenge_type_14,0.01,0.40199999999999997,0.4356141793131828
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,2,native_challenge_type_18,0.01,0.40199999999999997,0.6336260677576065
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,3,native_challenge_type_05,0.022,0.38999999999999996,0.3428997164517641
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,4,native_challenge_type_09,0.03,0.382,0.34773048290610314
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,5,native_challenge_type_02,0.394,0.01799999999999996,0.6725818443596363
CLIP ViT-B/16,clip_vit_b16,1,native_challenge_type_14,0.012,0.432,0.12347936835885048
CLIP ViT-B/16,clip_vit_b16,2,native_challenge_type_18,0.016,0.428,0.207903457775712
CLIP ViT-B/16,clip_vit_b16,3,native_challenge_type_05,0.02,0.424,0.15963073471188546
CLIP ViT-B/16,clip_vit_b16,4,native_challenge_type_09,0.034,0.41000000000000003,0.15541592290997505
CLIP ViT-B/16,clip_vit_b16,5,native_challenge_type_02,0.424,0.020000000000000018,0.5294322046637535
