family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
native_cure_or,native_challenge_type_12,level_4,500,0.202,0.01201964775286615,0.35400000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_12,level_5,500,0.126,0.012149545913562178,0.43000000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_1,500,0.238,0.011758852645754814,0.31800000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_2,500,0.132,0.0117636317294091,0.42400000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_3,500,0.09,0.011846656739711761,0.4660000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_4,500,0.076,0.011927608471363782,0.48000000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_13,level_5,500,0.068,0.01191053607314825,0.48800000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_1,500,0.074,0.011805325554683804,0.48200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_2,500,0.016,0.012398230334743857,0.54,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_3,500,0.01,0.012962018532678485,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_4,500,0.01,0.013129675228148698,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_14,level_5,500,0.01,0.013103917505592108,0.546,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_1,500,0.218,0.01178228909149766,0.3380000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_2,500,0.184,0.011892835868522526,0.37200000000000005,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_3,500,0.168,0.011905572244897484,0.388,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_4,500,0.174,0.01190532529167831,0.38200000000000006,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_15,level_5,500,0.158,0.011904936000704766,0.398,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_1,500,0.156,0.011560759602114558,0.4,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_2,500,0.106,0.011482747670263051,0.45000000000000007,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_16,level_3,500,0.05,0.011387074621394277,0.506,full_cure_or_leave_clean_condition_out_prototype
