model_name,model_slug,family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,high,100,0.82,0.8430265134572983,0.08000000000000007
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,low,100,0.88,0.8609686958789825,0.020000000000000018
CLIP ViT-B/16,clip_vit_b16,modern_transfer,video_call_frame,mid,100,0.85,0.8479670149087906,0.050000000000000044
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,high,100,0.19,0.46973675206303594,0.0
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,low,100,0.18,0.476761579811573,0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,classic,blur_classic,mid,100,0.17,0.46568508207798004,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,high,100,0.17,0.5455367565155029,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,low,100,0.2,0.5166794353723526,-0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,classic,jpeg_classic,mid,100,0.17,0.5535006320476532,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,high,100,0.18,0.4436987181007862,0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,low,100,0.19,0.4843196113407612,0.0
SigLIP Base P16 224,siglip_base_p16_224,classic,resize_roundtrip,mid,100,0.21,0.4711419631540775,-0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,clean,clean,clean,100,0.19,0.4902893927693367,0.0
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,high,100,0.16,0.5428060925006867,0.03
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,low,100,0.21,0.5151118545234203,-0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,dirty_lens_recompress,mid,100,0.17,0.5365945273637771,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,high,100,0.18,0.45393677055835724,0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,low,100,0.16,0.5129104468226433,0.03
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,low_light_upload,mid,100,0.14,0.5374520421028137,0.04999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,high,100,0.21,0.5631795513629914,-0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,low,100,0.22,0.5098311464488506,-0.03
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,messenger_chain,mid,100,0.16,0.5368347868323327,0.03
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,high,100,0.17,0.5346015800535678,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,low,100,0.18,0.5226949574053288,0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,restoration_artifact,mid,100,0.15,0.537708689570427,0.04000000000000001
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,high,100,0.17,0.5349683147668839,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,low,100,0.2,0.5048344497382641,-0.010000000000000009
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,screenshot_chain,mid,100,0.17,0.5379301482439041,0.01999999999999999
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,high,100,0.15,0.5246175262331962,0.04000000000000001
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,low,100,0.15,0.5312096145749092,0.04000000000000001
SigLIP Base P16 224,siglip_base_p16_224,modern_transfer,video_call_frame,mid,100,0.15,0.5385429614782333,0.04000000000000001
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,high,100,0.74,0.8587918999791145,0.10999999999999999
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,low,100,0.82,0.886425270140171,0.030000000000000027
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,blur_classic,mid,100,0.78,0.8646886363625527,0.06999999999999995
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,high,100,0.85,0.8870111274719238,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,low,100,0.86,0.8834191778302193,-0.010000000000000009
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,jpeg_classic,mid,100,0.83,0.8848289477825165,0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,high,100,0.8,0.8549018248915672,0.04999999999999993
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,low,100,0.87,0.8878275913000107,-0.020000000000000018
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,classic,resize_roundtrip,mid,100,0.85,0.8818732771277428,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,clean,clean,clean,100,0.85,0.8929685404896737,0.0
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,high,100,0.82,0.8780013087391854,0.030000000000000027
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,low,100,0.86,0.8824186810851097,-0.010000000000000009
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,modern_transfer,dirty_lens_recompress,mid,100,0.83,0.8829085478186607,0.020000000000000018
