model_name,model_slug,severity,base_type,base_name,base_display_name,color_accuracy,grayscale_accuracy,grayscale_minus_color_accuracy,color_mean_confidence,grayscale_mean_confidence,grayscale_minus_color_confidence
CLIP ViT-B/16,clip_vit_b16,level_5,04,overexposure,Overexposure,0.158,0.074,-0.084,0.3111028780713677,0.31043176516890525,-0.0006711129024624674
CLIP ViT-B/16,clip_vit_b16,level_5,09,salt_pepper_noise,Salt & pepper noise,0.01,0.01,0.0,0.09720764323323965,0.2612917869091034,0.16408414367586371
CLIP ViT-B/16,clip_vit_b16,level_5,03,underexposure,Underexposure,0.19,0.132,-0.057999999999999996,0.2880705142840743,0.2638157967552543,-0.024254717528820025
CLIP ViT-B/32,clip_vit_b32,level_1,06,contrast,Contrast,0.292,0.166,-0.12599999999999997,0.4232829729020596,0.35967071394622324,-0.06361225895583633
CLIP ViT-B/32,clip_vit_b32,level_1,07,dirty_lens_1,Dirty lens 1,0.294,0.146,-0.148,0.4282282344251871,0.35802735379338263,-0.07020088063180446
CLIP ViT-B/32,clip_vit_b32,level_1,08,dirty_lens_2,Dirty lens 2,0.264,0.112,-0.15200000000000002,0.4288836687207222,0.3344154953211546,-0.09446817339956759
CLIP ViT-B/32,clip_vit_b32,level_1,05,gaussian_blur,Gaussian blur,0.186,0.068,-0.118,0.2638576023578644,0.20366721053421497,-0.06019039182364941
CLIP ViT-B/32,clip_vit_b32,level_1,04,overexposure,Overexposure,0.326,0.204,-0.12200000000000003,0.46133755715191366,0.39030373108386995,-0.0710338260680437
CLIP ViT-B/32,clip_vit_b32,level_1,02,resize,Resize,0.346,0.226,-0.11999999999999997,0.46234070850908754,0.37479156218469145,-0.08754914632439609
CLIP ViT-B/32,clip_vit_b32,level_1,09,salt_pepper_noise,Salt & pepper noise,0.262,0.112,-0.15000000000000002,0.40873010782897473,0.3086503601819277,-0.10007974764704702
CLIP ViT-B/32,clip_vit_b32,level_1,03,underexposure,Underexposure,0.352,0.1963927855711423,-0.1556072144288577,0.41813403594493864,0.3347845951726059,-0.08334944077233275
CLIP ViT-B/32,clip_vit_b32,level_2,06,contrast,Contrast,0.25,0.162,-0.088,0.38714415596425533,0.3685885144621134,-0.01855564150214195
CLIP ViT-B/32,clip_vit_b32,level_2,07,dirty_lens_1,Dirty lens 1,0.24,0.106,-0.134,0.3842899671047926,0.32023956145346166,-0.06405040565133091
CLIP ViT-B/32,clip_vit_b32,level_2,08,dirty_lens_2,Dirty lens 2,0.252,0.096,-0.156,0.37224543388187886,0.2820849375873804,-0.09016049629449846
CLIP ViT-B/32,clip_vit_b32,level_2,05,gaussian_blur,Gaussian blur,0.076,0.024,-0.052,0.16191525059193373,0.1341897336319089,-0.027725516960024843
CLIP ViT-B/32,clip_vit_b32,level_2,04,overexposure,Overexposure,0.204,0.136,-0.06799999999999998,0.3889308162778616,0.3466681603416801,-0.042262655936181504
CLIP ViT-B/32,clip_vit_b32,level_2,02,resize,Resize,0.344,0.222,-0.12199999999999997,0.45912434861063955,0.3730537034869194,-0.08607064512372015
CLIP ViT-B/32,clip_vit_b32,level_2,09,salt_pepper_noise,Salt & pepper noise,0.184,0.062,-0.122,0.33755473589152096,0.27346058551967145,-0.06409415037184951
CLIP ViT-B/32,clip_vit_b32,level_2,03,underexposure,Underexposure,0.364,0.198,-0.16599999999999998,0.39844222320616246,0.32528700929880144,-0.07315521390736102
