family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop
clean,clean,clean,100,0.39,0.4674090752005577,0.0
native_cure_or,native_challenge_type_02,level_1,100,0.37,0.46437189750373364,0.020000000000000018
native_cure_or,native_challenge_type_02,level_2,100,0.36,0.4607108394056559,0.030000000000000027
native_cure_or,native_challenge_type_02,level_3,100,0.38,0.46607006192207334,0.010000000000000009
native_cure_or,native_challenge_type_02,level_4,100,0.36,0.46545144699513913,0.030000000000000027
native_cure_or,native_challenge_type_05,level_1,100,0.15,0.26633667670190336,0.24000000000000002
native_cure_or,native_challenge_type_05,level_2,100,0.06,0.1682041423022747,0.33
native_cure_or,native_challenge_type_05,level_3,100,0.01,0.13085388898849487,0.38
native_cure_or,native_challenge_type_05,level_4,100,0.02,0.18575823739171027,0.37
native_cure_or,native_challenge_type_09,level_1,100,0.24,0.3320809034258127,0.15000000000000002
native_cure_or,native_challenge_type_09,level_2,100,0.18,0.27015928097069264,0.21000000000000002
native_cure_or,native_challenge_type_09,level_3,100,0.1,0.17073543310165407,0.29000000000000004
native_cure_or,native_challenge_type_09,level_4,100,0.0,0.10986168846488,0.39
native_cure_or,native_challenge_type_14,level_1,100,0.09,0.15702889133244752,0.30000000000000004
native_cure_or,native_challenge_type_14,level_2,100,0.02,0.13422123413532971,0.37
native_cure_or,native_challenge_type_14,level_3,100,0.01,0.12254404976963996,0.38
native_cure_or,native_challenge_type_14,level_4,100,0.01,0.11085144855082035,0.38
native_cure_or,native_challenge_type_18,level_1,100,0.13,0.2730743977427483,0.26
native_cure_or,native_challenge_type_18,level_2,100,0.05,0.24886292830109596,0.34
native_cure_or,native_challenge_type_18,level_3,100,0.03,0.16444967210292816,0.36
native_cure_or,native_challenge_type_18,level_4,100,0.0,0.12327366016805172,0.39
