model_name,model_slug,severity,channel,n,weighted_accuracy,weighted_mean_confidence,challenge_count
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,level_5,grayscale,3500,0.09314285714285714,0.012613765855718936,7
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_1,color,4000,0.38525,0.011823983253911138,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_1,grayscale,3999,0.18579644911227808,0.011673042180622614,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_2,color,4000,0.30475,0.011854728241451085,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_2,grayscale,4000,0.143,0.011738855165895075,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_3,color,4000,0.2565,0.011922085263067856,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_3,grayscale,4000,0.118,0.0118292491347529,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_4,color,4000,0.222,0.012014222226571291,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_4,grayscale,4000,0.10425,0.011941648200619966,8
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_5,color,3500,0.12742857142857142,0.012039404768496752,7
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,level_5,grayscale,3500,0.06457142857142857,0.01202419498216893,7
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_1,color,4000,0.44025,0.6257062211800367,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_1,grayscale,3999,0.2838209552388097,0.5452149617288911,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_2,color,4000,0.36775,0.5753685522079468,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_2,grayscale,4000,0.2225,0.5167378654908389,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_3,color,4000,0.30875,0.5351637950185686,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_3,grayscale,4000,0.18925,0.5149468239732087,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_4,color,4000,0.2655,0.5152445549583062,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_4,grayscale,4000,0.165,0.5111688630599529,8
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_5,color,3500,0.17914285714285713,0.4739828438428896,7
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,level_5,grayscale,3500,0.11114285714285714,0.5253627835001264,7
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_1,color,4000,0.31875,0.6017010517343879,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_1,grayscale,3999,0.1757939484871218,0.5700252526240607,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_2,color,4000,0.266,0.5587346477545798,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_2,grayscale,4000,0.134,0.5488380662081763,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_3,color,4000,0.21875,0.5295532765788957,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_3,grayscale,4000,0.113,0.5394914894858375,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_4,color,4000,0.1855,0.5114575363136828,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_4,grayscale,4000,0.0945,0.540386369840242,8
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_5,color,3500,0.12028571428571429,0.47372050558349915,7
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,level_5,grayscale,3500,0.05771428571428571,0.4825010721949594,7
