model_name,model_slug,clean_n,clean_accuracy,clean_mean_confidence,control_n,control_accuracy,control_mean_confidence,control_drop_vs_clean,control_confidence_drop_vs_clean,native_level_1_accuracy,native_level_2_accuracy,native_level_3_accuracy,native_level_4_accuracy,native_level_5_accuracy,control_minus_native_level_1,control_minus_native_level_5
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,500,0.412,0.664758232563734,499,0.24649298597194388,0.6272011857950138,0.1655070140280561,0.03755704676872018,0.2472809101137642,0.2,0.165875,0.14,0.089,-0.0007879241418203287,0.1574929859719439
CLIP ViT-B/16,clip_vit_b16,500,0.444,0.5248231267482042,499,0.3166332665330661,0.44692136580217817,0.1273667334669339,0.07790176094602602,0.27715964495561946,0.2245,0.192125,0.159625,0.09942857142857142,0.03947362157744666,0.2172046951044947
CLIP ViT-B/32,clip_vit_b32,500,0.35,0.4644233193844557,499,0.22444889779559118,0.37728714457673873,0.1255511022044088,0.08713617480771696,0.22202775346918366,0.1825,0.15275,0.124875,0.07414285714285715,0.002421144326407526,0.15030604065273404
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,500,0.624,0.01340457166172564,499,0.44288577154308617,0.013009900001357337,0.18111422845691383,0.00039467166036830266,0.3792974121765221,0.300625,0.2505,0.2045,0.12185714285714286,0.0635883593665641,0.3210286286859433
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,500,0.556,0.011936820603907109,499,0.2845691382765531,0.011772014017782374,0.27143086172344694,0.00016480658612473553,0.2855356919614952,0.223875,0.18725,0.163125,0.096,-0.0009665536849420842,0.1885691382765531
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,500,0.616,0.013960918275639415,499,0.4909819639278557,0.013517278207387618,0.1250180360721443,0.00044364006825179693,0.4480560070008751,0.391375,0.3435,0.2965,0.22385714285714287,0.04292595692698059,0.26712482107071284
