model_name,model_slug,family,recipe,severity,label,n,accuracy,drop_vs_clean_label
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,lg_cell_phone,10,0.9,-0.20000000000000007
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,jpeg_classic,mid,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,baseball,10,0.8,0.09999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,canon_camera,10,0.1,0.19999999999999998
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,hair_brush,10,0.8,-0.10000000000000009
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,pan,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,shoes,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,toy,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,high,training_marker_cone,10,1.0,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,baseball,10,0.9,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,calcium_bottle,10,0.8,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,canon_camera,10,0.3,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,dymo_label_maker,10,0.5,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,hair_brush,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,lg_cell_phone,10,0.7,0.0
CLIP ViT-B/32,clip_vit_b32,classic,resize_roundtrip,low,pan,10,1.0,0.0
