model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
OpenGVLab/InternVL3-1B-hf,huggingface,,messenger_upload_download,200,0.960000,0.920000,0.990000,0.000000,0.000000,-0.010000,-0.030000,0.000000
OpenGVLab/InternVL3-1B-hf,huggingface,,phone_screenshot_resave,200,0.960000,0.920000,0.990000,0.000000,0.000000,-0.010000,-0.025000,0.000000
OpenGVLab/InternVL3-1B-hf,huggingface,,social_app_resave,200,0.960000,0.920000,0.990000,0.000000,0.000000,-0.010000,-0.030000,0.000000
OpenGVLab/InternVL3-1B-hf,huggingface,,video_call_frame_capture,200,0.945000,0.905000,0.980000,0.000000,0.000000,0.005000,-0.030000,0.040000
