model_name,model_slug,clean_accuracy,grayscale_control_accuracy,native_level_5_accuracy,control_minus_native_level_5,control_drop_vs_clean
DINOv2 ViT-S/14 Prototype,dinov2_vit_small_patch14_prototype,0.752,0.7414829659318637,0.2765714285714286,0.4649115373604351,0.01051703406813631
ConvNeXt-Tiny Prototype,convnext_tiny_fb_in1k_prototype,0.616,0.4909819639278557,0.22385714285714287,0.26712482107071284,0.1250180360721443
OpenCLIP ViT-B/16 DataComp XL,openclip_vit_b16_datacomp_xl,0.546,0.3907815631262525,0.14514285714285713,0.24563870598339538,0.15521843687374753
HGNetV2-B0 Prototype,hgnetv2_b0_prototype,0.624,0.44288577154308617,0.12185714285714286,0.3210286286859433,0.18111422845691383
CLIP ViT-B/16,clip_vit_b16,0.444,0.3166332665330661,0.09942857142857142,0.2172046951044947,0.1273667334669339
MobileNetV3-Small Prototype,mobilenet_v3_small_prototype,0.556,0.2845691382765531,0.096,0.1885691382765531,0.27143086172344694
OpenCLIP ViT-B/32 LAION2B,openclip_vit_b32_laion2b,0.412,0.24649298597194388,0.089,0.1574929859719439,0.1655070140280561
CLIP ViT-B/32,clip_vit_b32,0.35,0.22444889779559118,0.07414285714285715,0.15030604065273404,0.1255511022044088
