model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
OpenGVLab/InternVL3-1B-hf,huggingface,,messenger_upload_download,60,0.933333,0.833333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OpenGVLab/InternVL3-1B-hf,huggingface,,phone_screenshot_resave,60,0.933333,0.833333,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
OpenGVLab/InternVL3-1B-hf,huggingface,,video_call_frame_capture,60,0.933333,0.850000,1.000000,0.000000,0.000000,0.000000,-0.050000,0.050000
