slug,model_id,clean_n,clean_accuracy,real_n,real_accuracy,accuracy_drop_vs_clean,real_errors,clean_errors,messenger_upload_download_accuracy,phone_screenshot_resave_accuracy,social_app_resave_accuracy,video_call_frame_capture_accuracy,hardest_pipeline
qwen2_5_vl_7b,Qwen/Qwen2.5-VL-7B-Instruct,100,0.9800,800,0.96125,0.01875,31,2,0.9700,0.9650,0.9800,0.9300,video_call_frame_capture
llava_onevision_qwen2_7b,llava-hf/llava-onevision-qwen2-7b-ov-hf,100,0.9800,800,0.97750,0.00250,18,2,0.9900,0.9850,0.9800,0.9550,video_call_frame_capture
