slug,model_id,provider,model_version,recipe,n,accuracy,accuracy_ci_low,accuracy_ci_high,unparseable_rate,abstention_rate,accuracy_drop_vs_clean,accuracy_drop_ci_low,accuracy_drop_ci_high
internvl3_2b,OpenGVLab/InternVL3-2B-hf,huggingface,,messenger_upload_download,200,0.98,0.95,1.0,0.0,0.0,-0.01,-0.03,0.0
internvl3_2b,OpenGVLab/InternVL3-2B-hf,huggingface,,phone_screenshot_resave,200,0.955,0.915,0.99,0.0,0.0,0.015,0.0,0.04
internvl3_2b,OpenGVLab/InternVL3-2B-hf,huggingface,,social_app_resave,200,0.97,0.93,1.0,0.0,0.0,0.0,0.0,0.0
internvl3_2b,OpenGVLab/InternVL3-2B-hf,huggingface,,video_call_frame_capture,200,0.935,0.885,0.98,0.0,0.0,0.035,0.005,0.075
